timestamp,class_base,x1_base,y1_base,x2_base,y2_base,class_rayo,x1_rayo,y1_rayo,x2_rayo,y2_rayo
2025-03-23_03-11-42,base,795,448,844,489,ray_from_above,770,36,828,490
2025-03-23_03-11-42,base,271,447,332,492,ray_from_above,291,36,337,495
2025-03-23_03-11-42,base,768,448,822,489,ray_from_above,747,31,804,491
2025-03-23_03-11-42,base,624,448,688,490,ray_from_above,550,37,670,489
2025-03-23_03-11-42,base,739,448,798,489,ray_from_above,724,35,783,489
2025-03-23_03-11-42,base,273,465,288,493,ray_from_above,271,32,313,486
2025-03-23_03-11-42,base,275,455,289,492,ray_from_above,271,32,313,486
2025-03-23_03-11-43,base,612,448,669,491,ray_from_above,535,35,648,488
2025-03-23_03-11-43,base,87,447,130,491,ray_from_above,81,34,125,490
2025-03-23_03-11-43,base,723,446,776,489,ray_from_above,709,36,765,488
2025-03-23_03-11-43,base,592,447,662,490,ray_from_above,525,37,644,490
2025-03-23_03-11-43,base,74,447,132,491,ray_from_above,75,37,117,489
2025-03-23_03-11-43,base,712,443,771,489,ray_from_above,702,37,754,487
2025-03-23_03-11-43,base,602,448,658,490,ray_from_above,522,35,641,489
2025-03-23_03-11-43,base,78,450,129,490,ray_from_above,71,38,115,488
2025-03-23_03-11-43,base,734,442,752,489,ray_from_above,700,35,748,489
2025-03-23_03-11-43,base,594,447,657,490,ray_from_above,521,36,640,489
2025-03-23_03-11-43,base,71,450,129,490,ray_from_above,70,37,114,488
2025-03-23_03-11-43,base,590,448,660,490,ray_from_above,521,37,640,488
2025-03-23_03-11-43,base,71,452,132,490,ray_from_above,70,37,115,490
2025-03-23_03-11-43,base,64,445,126,487,ray_from_above,69,37,112,486
2025-03-23_03-11-43,base,568,418,653,472,ray_from_above,521,36,639,479
2025-03-23_03-11-43,base,73,456,129,495,ray_from_above,72,38,117,498
2025-03-23_03-11-43,base,573,427,664,487,ray_from_above,523,37,647,489
2025-03-23_03-11-43,base,73,443,138,486,ray_from_above,71,37,116,488
2025-03-23_03-11-43,base,72,455,127,494,ray_from_above,69,37,108,490
2025-03-23_03-11-43,base,69,456,110,494,ray_from_above,69,37,108,490
2025-03-23_03-11-43,base,599,455,650,493,ray_from_above,517,36,629,492
2025-03-23_03-11-43,base,55,456,105,493,ray_from_above,69,37,108,490
2025-03-23_03-11-43,base,63,456,128,494,ray_from_above,69,37,113,496
2025-03-23_03-11-43,base,597,451,639,495,ray_from_above,520,36,638,496
2025-03-23_03-11-43,base,593,452,655,494,ray_from_above,520,36,638,496
2025-03-23_03-11-43,base,61,454,111,493,ray_from_above,69,37,113,496
2025-03-23_03-11-43,base,621,451,673,489,ray_from_above,538,38,654,490
2025-03-23_03-11-43,base,90,453,131,490,ray_from_above,84,35,126,489
2025-03-23_03-11-44,base,152,455,165,493,ray_from_above,131,32,164,491
2025-03-23_03-11-52,base,562,468,574,491,ray_from_above,463,36,570,498
2025-03-23_03-11-52,base,560,469,578,492,ray_from_above,463,36,570,497
2025-03-23_03-11-52,base,568,467,584,493,ray_from_above,463,36,573,501
2025-03-23_03-11-52,base,557,464,585,492,ray_from_above,463,36,573,501
2025-03-23_03-11-52,base,552,462,586,493,ray_from_above,463,36,582,497
2025-03-23_03-11-52,base,554,465,580,492,ray_from_above,463,36,581,495
2025-03-23_03-11-52,base,548,465,585,492,ray_from_above,463,36,581,495
2025-03-23_03-11-52,base,563,469,580,493,ray_from_above,463,36,581,495
2025-03-23_03-11-52,base,900,409,942,465,ray_from_above,870,35,924,482
2025-03-23_03-11-52,base,534,452,597,492,ray_from_above,459,34,583,493
2025-03-23_03-11-52,base,667,448,724,491,ray_from_above,688,32,712,508
2025-03-23_03-11-52,base,896,413,931,473,ray_from_above,871,34,923,480
2025-03-23_03-11-52,base,539,449,594,492,ray_from_above,460,35,581,491
2025-03-23_03-11-52,base,674,448,724,491,ray_from_above,688,29,713,503
2025-03-23_03-11-52,base,896,411,928,467,ray_from_above,870,36,921,479
2025-03-23_03-11-52,base,667,447,721,491,ray_from_above,688,31,713,504
2025-03-23_03-11-52,base,533,453,597,492,ray_from_above,460,36,580,491
2025-03-23_03-11-52,base,269,453,331,490,ray_from_above,248,34,313,489
2025-03-23_03-11-52,base,892,412,940,460,ray_from_above,871,36,924,482
2025-03-23_03-11-52,base,539,448,594,492,ray_from_above,460,35,581,490
2025-03-23_03-11-52,base,675,447,720,491,ray_from_above,688,29,713,505
2025-03-23_03-11-52,base,274,450,329,488,ray_from_above,248,34,314,488
2025-03-23_03-11-52,base,896,417,946,461,ray_from_above,871,36,923,483
2025-03-23_03-11-52,base,665,446,721,491,ray_from_above,688,31,713,504
2025-03-23_03-11-52,base,532,446,596,493,ray_from_above,460,36,580,490
2025-03-23_03-11-52,base,271,452,331,487,ray_from_above,247,35,315,483
2025-03-23_03-11-52,base,532,450,598,492,ray_from_above,460,36,582,491
2025-03-23_03-11-52,base,669,448,719,491,ray_from_above,688,29,713,503
2025-03-23_03-11-52,base,272,454,329,488,ray_from_above,248,34,314,484
2025-03-23_03-11-53,base,539,448,594,492,ray_from_above,460,36,580,489
2025-03-23_03-11-53,base,674,447,720,492,ray_from_above,688,29,713,506
2025-03-23_03-11-53,base,275,453,329,487,ray_from_above,248,34,315,484
2025-03-23_03-11-53,base,533,446,596,493,ray_from_above,460,36,580,491
2025-03-23_03-11-53,base,665,445,720,491,ray_from_above,688,31,713,505
2025-03-23_03-11-53,base,271,452,330,487,ray_from_above,247,34,314,482
2025-03-23_03-11-53,base,275,453,329,487,ray_from_above,249,40,310,485
2025-03-23_03-11-53,base,545,458,584,493,ray_from_above,463,36,581,493
2025-03-23_03-11-53,base,554,467,576,493,ray_from_above,463,36,581,493
2025-03-23_03-11-53,base,550,463,577,493,ray_from_above,463,36,581,493
2025-03-23_03-11-53,base,274,453,331,487,ray_from_above,248,39,312,485
2025-03-23_03-11-53,base,560,466,576,493,ray_from_above,462,35,582,494
2025-03-23_03-11-53,base,558,457,576,492,ray_from_above,462,35,582,494
2025-03-23_03-11-53,base,288,437,304,477,ray_from_above,253,38,306,487
2025-03-23_03-11-53,base,293,457,308,481,ray_from_above,253,38,306,487
2025-03-23_03-11-53,base,291,443,305,480,ray_from_above,253,38,306,487
2025-03-23_03-11-59,base,564,472,583,492,ray_from_above,571,38,691,496
2025-03-23_03-11-59,base,566,470,586,492,ray_from_above,572,39,691,493
2025-03-23_03-11-59,base,562,468,584,491,ray_from_above,572,38,690,494
2025-03-23_03-11-59,base,560,471,577,491,ray_from_above,572,38,690,494
2025-03-23_03-11-59,base,570,471,588,492,ray_from_above,579,37,690,505
2025-03-23_03-11-59,base,573,470,591,491,ray_from_above,579,37,690,505
2025-03-23_03-11-59,base,823,163,839,188,ray_from_above,822,37,868,187
2025-03-23_03-11-59,base,570,470,583,492,ray_from_above,579,37,690,505
2025-03-23_03-11-59,base,553,448,612,492,ray_from_above,567,38,698,495
2025-03-23_03-11-59,base,548,447,612,492,ray_from_above,566,37,698,496
2025-03-23_03-11-59,base,546,448,615,491,ray_from_above,569,37,697,495
2025-03-23_03-11-59,base,549,448,610,492,ray_from_above,569,37,696,496
2025-03-23_03-11-59,base,547,450,613,491,ray_from_above,565,37,698,496
2025-03-23_03-11-59,base,346,455,401,490,ray_from_above,364,37,458,489
2025-03-23_03-11-59,base,553,448,613,491,ray_from_above,566,37,695,495
2025-03-23_03-11-59,base,731,450,783,492,ray_from_above,743,37,877,492
2025-03-23_03-11-59,base,356,452,400,490,ray_from_above,367,36,456,485
2025-03-23_03-12-00,base,549,448,613,492,ray_from_above,564,36,698,494
2025-03-23_03-12-00,base,729,445,784,491,ray_from_above,744,37,877,491
2025-03-23_03-12-00,base,359,455,399,490,ray_from_above,368,36,457,487
2025-03-23_03-12-00,base,547,448,614,491,ray_from_above,567,37,697,494
2025-03-23_03-12-00,base,726,450,788,492,ray_from_above,745,37,877,490
2025-03-23_03-12-00,base,359,456,400,490,ray_from_above,365,37,458,488
2025-03-23_03-12-00,base,729,450,783,492,ray_from_above,745,37,877,489
2025-03-23_03-12-00,base,356,453,399,489,ray_from_above,367,37,456,486
2025-03-23_03-12-00,base,568,472,586,492,ray_from_above,568,36,695,494
2025-03-23_03-12-00,base,571,470,583,492,ray_from_above,568,36,695,494
2025-03-23_03-12-00,base,568,461,600,491,ray_from_above,568,36,695,494
2025-03-23_03-12-00,base,728,448,783,491,ray_from_above,742,37,878,489
2025-03-23_03-12-00,base,280,453,342,490,ray_from_above,249,39,324,485
2025-03-23_03-12-00,base,360,453,400,489,ray_from_above,364,37,459,486
2025-03-23_03-12-00,base,730,450,782,492,ray_from_above,742,37,878,489
2025-03-23_03-12-00,base,281,450,336,490,ray_from_above,249,39,323,486
2025-03-23_03-12-00,base,355,450,400,490,ray_from_above,365,37,459,486
2025-03-23_03-12-00,base,280,450,339,489,ray_from_above,247,39,323,486
2025-03-23_03-12-00,base,729,449,783,491,ray_from_above,743,36,875,491
2025-03-23_03-12-00,base,359,453,398,489,ray_from_above,366,37,458,486
2025-03-23_03-12-00,base,280,450,338,488,ray_from_above,248,39,323,486
2025-03-23_03-12-00,base,727,447,788,492,ray_from_above,740,36,879,489
2025-03-23_03-12-00,base,360,454,401,490,ray_from_above,364,37,459,486
2025-03-23_03-12-00,base,285,449,339,490,ray_from_above,248,40,323,486
2025-03-23_03-12-00,base,282,449,339,489,ray_from_above,249,39,322,487
2025-03-23_03-12-00,base,282,451,337,488,ray_from_above,248,40,323,488
2025-03-23_03-12-09,base,297,472,307,492,ray_from_above,279,35,305,492
2025-03-23_03-12-09,base,662,450,684,489,ray_from_above,681,34,717,486
2025-03-23_03-12-09,base,298,471,309,492,ray_from_above,287,35,316,506
2025-03-23_03-12-09,base,307,472,318,491,ray_from_above,291,35,316,506
2025-03-23_03-12-09,base,658,440,690,489,ray_from_above,686,34,719,487
2025-03-23_03-12-09,base,644,450,662,490,ray_from_above,544,37,658,488
2025-03-23_03-12-09,base,640,435,657,490,ray_from_above,544,37,658,488
2025-03-23_03-12-10,base,281,447,344,492,ray_from_above,291,36,323,497
2025-03-23_03-12-10,base,645,453,658,489,ray_from_above,544,37,658,489
2025-03-23_03-12-10,base,643,443,656,490,ray_from_above,544,37,658,489
2025-03-23_03-12-10,base,282,452,345,492,ray_from_above,291,36,324,495
2025-03-23_03-12-10,base,617,447,688,490,ray_from_above,539,37,666,491
2025-03-23_03-12-10,base,287,449,341,492,ray_from_above,292,35,325,497
2025-03-23_03-12-10,base,627,451,684,491,ray_from_above,540,37,664,489
2025-03-23_03-12-10,base,687,417,708,489,ray_from_above,689,34,721,489
2025-03-23_03-12-10,base,287,448,349,492,ray_from_above,296,36,329,495
2025-03-23_03-12-10,base,621,445,689,491,ray_from_above,547,37,670,490
2025-03-23_03-12-10,base,307,451,362,492,ray_from_above,310,35,345,499
2025-03-23_03-12-10,base,645,448,699,490,ray_from_above,562,35,682,488
2025-03-23_03-12-10,base,687,446,719,489,ray_from_above,711,34,741,488
2025-03-23_03-12-10,base,660,448,717,489,ray_from_above,711,34,741,488
2025-03-23_03-12-10,base,702,445,721,489,ray_from_above,711,34,741,488
2025-03-23_03-12-10,base,318,448,374,492,ray_from_above,324,33,356,498
2025-03-23_03-12-10,base,658,448,711,490,ray_from_above,571,35,695,488
2025-03-23_03-12-10,base,697,447,733,490,ray_from_above,722,32,755,488
2025-03-23_03-12-10,base,707,447,737,490,ray_from_above,722,32,755,488
2025-03-23_03-12-10,base,669,448,732,489,ray_from_above,722,32,755,488
2025-03-23_03-12-10,base,318,448,380,492,ray_from_above,329,36,362,495
2025-03-23_03-12-10,base,654,445,720,491,ray_from_above,576,35,698,488
2025-03-23_03-12-10,base,207,452,262,490,ray_from_above,131,37,246,492
2025-03-23_03-12-10,base,657,447,722,490,ray_from_above,578,36,700,494
2025-03-23_03-12-10,base,208,451,261,489,ray_from_above,134,38,250,490
2025-03-23_03-12-10,base,343,460,364,492,ray_from_above,335,28,361,497
2025-03-23_03-12-10,base,657,447,723,490,ray_from_above,577,36,701,490
2025-03-23_03-12-10,base,209,451,263,489,ray_from_above,134,38,252,489
2025-03-23_03-12-10,base,212,452,262,490,ray_from_above,134,38,252,489
2025-03-23_03-12-11,base,209,445,266,486,ray_from_above,136,37,253,484
2025-03-23_03-12-11,base,212,455,263,492,ray_from_above,132,36,252,492
2025-03-23_03-12-11,base,206,448,262,489,ray_from_above,133,36,250,488
2025-03-23_03-12-18,base,951,222,965,258,ray_from_above,891,37,962,256
2025-03-23_03-12-18,base,951,238,965,271,ray_from_above,885,37,962,270
2025-03-23_03-12-19,base,500,473,511,492,ray_from_above,460,34,511,497
2025-03-23_03-12-19,base,951,232,964,265,ray_from_above,888,37,963,258
2025-03-23_03-12-19,base,498,465,515,492,ray_from_above,459,36,508,494
2025-03-23_03-12-19,base,499,459,513,492,ray_from_above,459,36,508,494
2025-03-23_03-12-19,base,948,226,963,259,ray_from_above,887,37,962,257
2025-03-23_03-12-19,base,952,232,964,267,ray_from_above,887,37,962,257
2025-03-23_03-12-19,base,783,448,837,491,ray_from_above,697,36,821,488
2025-03-23_03-12-19,base,499,472,511,493,ray_from_above,459,35,511,496
2025-03-23_03-12-19,base,948,225,963,256,ray_from_above,888,37,962,256
2025-03-23_03-12-19,base,776,446,838,491,ray_from_above,699,36,821,489
2025-03-23_03-12-19,base,499,472,508,493,ray_from_above,460,36,509,495
2025-03-23_03-12-19,base,955,243,966,289,ray_from_above,883,37,963,284
2025-03-23_03-12-19,base,948,235,965,285,ray_from_above,883,37,963,284
2025-03-23_03-12-19,base,956,254,966,293,ray_from_above,883,37,963,284
2025-03-23_03-12-19,base,499,446,508,492,ray_from_above,460,36,509,495
2025-03-23_03-12-19,base,477,451,532,491,ray_from_above,453,36,517,494
2025-03-23_03-12-19,base,784,448,837,491,ray_from_above,700,36,820,491
2025-03-23_03-12-19,base,955,242,966,287,ray_from_above,883,37,962,283
2025-03-23_03-12-19,base,948,235,965,285,ray_from_above,883,37,962,283
2025-03-23_03-12-19,base,956,252,966,293,ray_from_above,883,37,962,283
2025-03-23_03-12-19,base,468,450,532,492,ray_from_above,455,35,515,494
2025-03-23_03-12-19,base,777,447,838,491,ray_from_above,700,36,820,490
2025-03-23_03-12-19,base,954,244,965,288,ray_from_above,882,37,962,285
2025-03-23_03-12-19,base,947,235,964,285,ray_from_above,882,37,962,285
2025-03-23_03-12-19,base,956,253,965,291,ray_from_above,882,37,962,285
2025-03-23_03-12-19,base,471,454,535,491,ray_from_above,457,35,514,493
2025-03-23_03-12-19,base,778,448,839,490,ray_from_above,700,36,821,490
2025-03-23_03-12-19,base,955,243,966,288,ray_from_above,882,37,962,285
2025-03-23_03-12-19,base,948,234,965,285,ray_from_above,882,37,962,285
2025-03-23_03-12-19,base,956,254,966,293,ray_from_above,882,37,962,285
2025-03-23_03-12-19,base,476,452,532,492,ray_from_above,457,35,515,492
2025-03-23_03-12-19,base,784,448,837,491,ray_from_above,700,36,819,490
2025-03-23_03-12-19,base,954,245,965,287,ray_from_above,882,37,962,285
2025-03-23_03-12-19,base,947,236,964,284,ray_from_above,882,37,962,285
2025-03-23_03-12-19,base,956,254,965,289,ray_from_above,882,37,962,285
2025-03-23_03-12-19,base,468,450,534,492,ray_from_above,457,35,515,493
2025-03-23_03-12-19,base,768,442,838,491,ray_from_above,700,36,821,490
2025-03-23_03-12-19,base,955,243,966,288,ray_from_above,883,37,962,286
2025-03-23_03-12-19,base,956,254,966,292,ray_from_above,883,37,962,286
2025-03-23_03-12-19,base,948,234,965,286,ray_from_above,883,37,962,286
2025-03-23_03-12-19,base,469,454,536,492,ray_from_above,457,36,515,493
2025-03-23_03-12-19,base,778,447,839,491,ray_from_above,700,36,820,491
2025-03-23_03-12-19,base,955,242,965,287,ray_from_above,883,37,962,283
2025-03-23_03-12-19,base,948,235,965,284,ray_from_above,883,37,962,283
2025-03-23_03-12-19,base,956,253,965,292,ray_from_above,883,37,962,283
2025-03-23_03-12-19,base,476,452,532,492,ray_from_above,456,36,515,493
2025-03-23_03-12-19,base,954,244,965,288,ray_from_above,882,37,962,287
2025-03-23_03-12-19,base,801,453,823,489,ray_from_above,702,36,820,490
2025-03-23_03-12-19,base,956,253,965,291,ray_from_above,882,37,962,287
2025-03-23_03-12-19,base,947,236,964,286,ray_from_above,882,37,962,287
2025-03-23_03-12-20,base,469,454,535,492,ray_from_above,458,35,514,493
2025-03-23_03-12-20,base,952,235,965,277,ray_from_above,885,36,963,267
2025-03-23_03-12-20,base,947,228,964,272,ray_from_above,885,36,963,267
2025-03-23_03-12-20,base,955,241,965,284,ray_from_above,885,36,963,267
2025-03-23_03-12-20,base,476,452,532,492,ray_from_above,456,35,516,490
2025-03-23_03-12-20,base,362,451,413,489,ray_from_above,257,36,400,490
2025-03-23_03-12-20,base,953,234,964,267,ray_from_above,881,37,963,258
2025-03-23_03-12-20,base,948,226,964,264,ray_from_above,881,37,963,258
2025-03-23_03-12-20,base,361,450,419,490,ray_from_above,258,36,399,489
2025-03-23_03-12-20,base,499,472,508,493,ray_from_above,459,36,512,495
2025-03-23_03-12-20,base,498,442,508,494,ray_from_above,459,36,512,495
2025-03-23_03-12-20,base,499,456,508,493,ray_from_above,459,36,512,495
2025-03-23_03-12-20,base,359,450,420,490,ray_from_above,258,37,402,489
2025-03-23_03-12-20,base,361,450,419,489,ray_from_above,257,36,401,488
2025-03-23_03-12-20,base,358,450,419,490,ray_from_above,256,37,403,489
2025-03-23_03-12-20,base,362,452,409,490,ray_from_above,256,36,399,488
2025-03-23_03-12-20,base,361,451,419,489,ray_from_above,255,38,407,487
2025-03-23_03-12-20,base,369,454,415,489,ray_from_above,262,40,406,483
2025-03-23_03-12-20,base,361,453,417,489,ray_from_above,253,37,401,487
2025-03-23_03-12-20,base,371,453,407,489,ray_from_above,257,37,404,486
2025-03-23_03-12-20,base,368,460,417,489,ray_from_above,257,37,404,486
2025-03-23_03-12-20,base,366,445,403,490,ray_from_above,257,37,404,486
2025-03-23_03-12-21,base,365,465,408,494,ray_from_above,258,37,415,497
2025-03-23_03-12-26,base,373,475,381,494,ray_from_above,336,34,387,497
2025-03-23_03-12-26,base,373,461,381,492,ray_from_above,339,35,387,495
2025-03-23_03-12-26,base,374,475,381,493,ray_from_above,339,35,387,495
2025-03-23_03-12-26,base,371,466,386,492,ray_from_above,339,34,387,501
2025-03-23_03-12-26,base,373,471,384,491,ray_from_above,339,35,386,494
2025-03-23_03-12-26,base,374,456,381,491,ray_from_above,339,35,386,494
2025-03-23_03-12-27,base,526,453,584,491,ray_from_above,542,25,587,498
2025-03-23_03-12-27,base,372,468,383,492,ray_from_above,338,34,386,493
2025-03-23_03-12-27,base,342,448,407,491,ray_from_above,333,35,389,493
2025-03-23_03-12-27,base,523,450,583,492,ray_from_above,543,23,585,498
2025-03-23_03-12-27,base,343,454,408,491,ray_from_above,334,35,389,493
2025-03-23_03-12-27,base,520,453,586,492,ray_from_above,541,36,583,493
2025-03-23_03-12-27,base,351,451,406,492,ray_from_above,336,35,389,492
2025-03-23_03-12-27,base,525,451,583,492,ray_from_above,544,25,585,491
2025-03-23_03-12-27,base,354,450,415,492,ray_from_above,348,33,397,496
2025-03-23_03-12-27,base,529,446,594,492,ray_from_above,553,27,596,490
2025-03-23_03-12-27,base,377,451,432,492,ray_from_above,363,36,416,490
2025-03-23_03-12-27,base,555,448,611,492,ray_from_above,574,29,611,492
2025-03-23_03-12-27,base,384,449,444,492,ray_from_above,376,32,426,493
2025-03-23_03-12-27,base,558,448,625,493,ray_from_above,585,32,625,492
2025-03-23_03-12-27,base,69,449,127,492,ray_from_above,89,36,177,490
2025-03-23_03-12-27,base,391,453,453,492,ray_from_above,382,34,436,491
2025-03-23_03-12-27,base,568,451,635,492,ray_from_above,587,35,629,493
2025-03-23_03-12-27,base,73,450,141,492,ray_from_above,98,35,184,491
2025-03-23_03-12-27,base,398,450,453,492,ray_from_above,384,34,438,490
2025-03-23_03-12-27,base,76,448,136,492,ray_from_above,102,35,186,490
2025-03-23_03-12-27,base,628,454,680,492,ray_from_above,601,34,630,495
2025-03-23_03-12-27,base,597,455,609,491,ray_from_above,601,34,630,495
2025-03-23_03-12-27,base,597,445,608,492,ray_from_above,601,34,630,495
2025-03-23_03-12-27,base,75,450,135,492,ray_from_above,103,37,186,492
2025-03-23_03-12-27,base,622,449,683,492,ray_from_above,602,35,630,494
2025-03-23_03-12-27,base,636,455,684,492,ray_from_above,602,35,630,494
2025-03-23_03-12-27,base,424,473,432,494,ray_from_above,386,34,437,493
2025-03-23_03-12-27,base,423,471,434,493,ray_from_above,386,34,437,493
2025-03-23_03-12-27,base,599,444,608,491,ray_from_above,602,35,630,494
2025-03-23_03-12-27,base,422,460,434,493,ray_from_above,386,34,437,493
2025-03-23_03-12-27,base,75,448,143,492,ray_from_above,105,37,186,491
2025-03-23_03-12-27,base,619,453,685,493,ray_from_above,636,36,807,492
2025-03-23_03-12-27,base,424,477,431,494,ray_from_above,383,34,438,494
2025-03-23_03-12-27,base,423,472,432,493,ray_from_above,383,34,438,494
2025-03-23_03-12-28,base,74,447,139,493,ray_from_above,101,37,188,493
2025-03-23_03-12-28,base,624,452,684,492,ray_from_above,637,34,806,492
2025-03-23_03-12-28,base,634,460,684,492,ray_from_above,637,34,806,492
2025-03-23_03-12-28,base,70,447,139,489,ray_from_above,97,37,184,485
2025-03-23_03-12-28,base,614,445,682,488,ray_from_above,634,35,798,486
2025-03-23_03-12-28,base,74,447,141,490,ray_from_above,103,37,188,490
2025-03-23_03-12-28,base,630,451,683,489,ray_from_above,639,36,808,487
2025-03-23_03-12-28,base,625,453,685,495,ray_from_above,639,35,809,495
2025-03-23_03-12-28,base,107,460,122,494,ray_from_above,104,36,187,493
2025-03-23_03-12-28,base,103,454,120,493,ray_from_above,104,36,187,493
2025-03-23_03-12-28,base,620,450,685,491,ray_from_above,637,35,808,491
2025-03-23_03-12-29,base,449,466,467,493,ray_from_above,443,35,607,494
2025-03-23_03-12-29,base,450,469,463,493,ray_from_above,443,35,607,494
2025-03-23_03-12-29,base,423,468,437,491,ray_from_above,426,37,579,488
2025-03-23_03-12-29,base,363,450,430,492,ray_from_above,383,36,551,492
2025-03-23_03-12-29,base,348,452,405,492,ray_from_above,364,36,530,491
2025-03-23_03-12-29,base,332,451,399,492,ray_from_above,353,36,520,492
2025-03-23_03-12-29,base,170,455,230,490,ray_from_above,183,36,286,495
2025-03-23_03-12-29,base,332,453,388,492,ray_from_above,344,35,521,493
2025-03-23_03-12-29,base,167,449,226,490,ray_from_above,180,36,282,492
2025-03-23_03-12-29,base,328,449,385,492,ray_from_above,345,36,517,492
2025-03-23_03-12-29,base,165,454,222,490,ray_from_above,186,36,280,491
2025-03-23_03-12-30,base,326,450,393,492,ray_from_above,344,35,516,493
2025-03-23_03-12-30,base,164,452,227,489,ray_from_above,179,36,280,492
2025-03-23_03-12-30,base,332,452,386,492,ray_from_above,342,36,517,493
2025-03-23_03-12-30,base,169,451,223,489,ray_from_above,184,36,279,491
2025-03-23_03-12-30,base,328,449,386,491,ray_from_above,343,36,516,494
2025-03-23_03-12-30,base,163,453,220,490,ray_from_above,182,35,279,493
2025-03-23_03-12-30,base,327,451,392,492,ray_from_above,343,35,517,494
2025-03-23_03-12-30,base,162,455,225,489,ray_from_above,181,36,279,493
2025-03-23_03-12-30,base,163,450,220,489,ray_from_above,185,36,279,490
2025-03-23_03-12-30,base,350,476,362,493,ray_from_above,343,34,516,494
2025-03-23_03-12-39,base,451,470,466,492,ray_from_above,443,38,581,494
2025-03-23_03-12-39,base,452,465,467,491,ray_from_above,449,36,581,495
2025-03-23_03-12-40,base,455,465,472,492,ray_from_above,451,37,582,494
2025-03-23_03-12-40,base,449,458,479,491,ray_from_above,452,37,581,494
2025-03-23_03-12-40,base,338,426,347,491,ray_from_above,452,37,581,494
2025-03-23_03-12-40,base,337,463,348,492,ray_from_above,452,37,581,494
2025-03-23_03-12-40,base,433,453,488,492,ray_from_above,441,35,587,493
2025-03-23_03-12-40,base,429,449,486,492,ray_from_above,442,35,586,491
2025-03-23_03-12-40,base,428,449,492,492,ray_from_above,443,35,586,491
2025-03-23_03-12-40,base,311,448,371,491,ray_from_above,331,34,359,494
2025-03-23_03-12-40,base,432,451,488,492,ray_from_above,444,35,585,493
2025-03-23_03-12-40,base,307,445,367,492,ray_from_above,327,33,356,495
2025-03-23_03-12-40,base,7,450,64,492,ray_from_above,21,37,140,495
2025-03-23_03-12-40,base,426,448,487,492,ray_from_above,441,35,582,490
2025-03-23_03-12-40,base,281,448,344,492,ray_from_above,302,35,329,493
2025-03-23_03-12-40,base,397,449,463,492,ray_from_above,413,36,558,493
2025-03-23_03-12-40,base,9,437,39,492,ray_from_above,2,39,111,489
2025-03-23_03-12-40,base,9,450,44,493,ray_from_above,2,39,111,489
2025-03-23_03-12-40,base,263,445,321,492,ray_from_above,279,34,311,493
2025-03-23_03-12-40,base,381,451,436,492,ray_from_above,396,36,534,492
2025-03-23_03-12-40,base,248,444,309,492,ray_from_above,267,36,299,490
2025-03-23_03-12-40,base,368,449,425,492,ray_from_above,383,37,524,492
2025-03-23_03-12-41,base,244,450,308,492,ray_from_above,262,36,296,490
2025-03-23_03-12-41,base,384,470,398,493,ray_from_above,381,36,521,495
2025-03-23_03-12-41,base,385,473,396,493,ray_from_above,381,36,521,495
2025-03-23_03-12-41,base,247,455,302,493,ray_from_above,260,35,292,484
2025-03-23_03-12-41,base,572,469,610,490,ray_from_above,261,35,288,490
2025-03-23_03-12-41,base,571,469,626,489,ray_from_above,261,35,288,490
2025-03-23_03-12-41,base,571,469,613,490,ray_from_above,683,36,707,467
